METAMODEL,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ
"DEbest","ackley",2,3,660,29,0.000153
"DEbest","ackley",2,3,680,30,0.000153
"DEbest","ackley",2,3,700,31,0.000153
"DEbest","ackley",2,3,720,32,0.000153
"DEbest","ackley",2,3,740,33,0.000115
"DEbest","ackley",2,3,760,34,0.000115
"DEbest","ackley",2,3,780,35,0.000062
"DEbest","ackley",2,3,800,36,0.000062
"DEbest","ackley",2,3,820,37,0.000042
"DEbest","ackley",2,3,840,38,0.000003
"DEbest","ackley",2,3,860,39,0.000003
"DEbest","ackley",2,3,880,40,0.000003
"DEbest","ackley",2,3,900,41,0.000003
"DEbest","ackley",2,3,920,42,0.000003
"DEbest","ackley",2,3,940,43,0.000003
"DEbest","ackley",2,3,960,44,0.000001
"DEbest","ackley",2,3,980,45,0.000001
"DEbest","ackley",2,3,1000,46,0.000001
"DEbest","ackley",2,4,100,1,7.835657
"DEbest","ackley",2,4,120,2,7.440376
"DEbest","ackley",2,4,140,3,3.634057
"DEbest","ackley",2,4,160,4,3.561660
"DEbest","ackley",2,4,180,5,2.858130
"DEbest","ackley",2,4,200,6,2.858130
"DEbest","ackley",2,4,220,7,2.858130
"DEbest","ackley",2,4,240,8,2.722754
"DEbest","ackley",2,4,260,9,1.084748
"DEbest","ackley",2,4,280,10,1.084748
"DEbest","ackley",2,4,300,11,0.582417
"DEbest","ackley",2,4,320,12,0.397665
"DEbest","ackley",2,4,340,13,0.076564
"DEbest","ackley",2,4,360,14,0.017950
"DEbest","ackley",2,4,380,15,0.017950
"DEbest","ackley",2,4,400,16,0.017950
"DEbest","ackley",2,4,420,17,0.017950
"DEbest","ackley",2,4,440,18,0.017950
"DEbest","ackley",2,4,460,19,0.014008
"DEbest","ackley",2,4,480,20,0.014008
"DEbest","ackley",2,4,500,21,0.014008
"DEbest","ackley",2,4,520,22,0.001133
"DEbest","ackley",2,4,540,23,0.001133
"DEbest","ackley",2,4,560,24,0.001133
"DEbest","ackley",2,4,580,25,0.001133
"DEbest","ackley",2,4,600,26,0.001133
"DEbest","ackley",2,4,620,27,0.000382
"DEbest","ackley",2,4,640,28,0.000382
"DEbest","ackley",2,4,660,29,0.000198
"DEbest","ackley",2,4,680,30,0.000198
"DEbest","ackley",2,4,700,31,0.000085
"DEbest","ackley",2,4,720,32,0.000085
"DEbest","ackley",2,4,740,33,0.000085
"DEbest","ackley",2,4,760,34,0.000085
"DEbest","ackley",2,4,780,35,0.000055
"DEbest","ackley",2,4,800,36,0.000055
"DEbest","ackley",2,4,820,37,0.000055
"DEbest","ackley",2,4,840,38,0.000011
"DEbest","ackley",2,4,860,39,0.000011
"DEbest","ackley",2,4,880,40,0.000011
"DEbest","ackley",2,4,900,41,0.000005
"DEbest","ackley",2,4,920,42,0.000005
"DEbest","ackley",2,4,940,43,0.000004
"DEbest","ackley",2,4,960,44,0.000004
"DEbest","ackley",2,4,980,45,0.000002
"DEbest","ackley",2,4,1000,46,0.000002
"DEbest","ackley",2,5,100,1,9.531971
"DEbest","ackley",2,5,120,2,6.479018
"DEbest","ackley",2,5,140,3,2.101435
"DEbest","ackley",2,5,160,4,2.101435
"DEbest","ackley",2,5,180,5,2.101435
"DEbest","ackley",2,5,200,6,2.101435
"DEbest","ackley",2,5,220,7,0.562733
"DEbest","ackley",2,5,240,8,0.562733
"DEbest","ackley",2,5,260,9,0.562733
"DEbest","ackley",2,5,280,10,0.439425
"DEbest","ackley",2,5,300,11,0.320959
"DEbest","ackley",2,5,320,12,0.237942
"DEbest","ackley",2,5,340,13,0.117277
"DEbest","ackley",2,5,360,14,0.034194
"DEbest","ackley",2,5,380,15,0.034194
"DEbest","ackley",2,5,400,16,0.034194
"DEbest","ackley",2,5,420,17,0.002027
"DEbest","ackley",2,5,440,18,0.002027
"DEbest","ackley",2,5,460,19,0.002027
"DEbest","ackley",2,5,480,20,0.001300
"DEbest","ackley",2,5,500,21,0.001300
"DEbest","ackley",2,5,520,22,0.001300
"DEbest","ackley",2,5,540,23,0.001300
"DEbest","ackley",2,5,560,24,0.000116
"DEbest","ackley",2,5,580,25,0.000116
"DEbest","ackley",2,5,600,26,0.000116
"DEbest","ackley",2,5,620,27,0.000116
"DEbest","ackley",2,5,640,28,0.000031
"DEbest","ackley",2,5,660,29,0.000031
"DEbest","ackley",2,5,680,30,0.000031
"DEbest","ackley",2,5,700,31,0.000019
"DEbest","ackley",2,5,720,32,0.000019
"DEbest","ackley",2,5,740,33,0.000011
"DEbest","ackley",2,5,760,34,0.000011
